num_terms,prod_degree,.metric,.estimator,mean,n,std_err,.config
1,1,accuracy,binary,0.8572193882599497,10,1.0600556311057657e-5,Model01
13,1,accuracy,binary,0.9692014439682831,10,5.257541148534642e-4,Model02
26,1,accuracy,binary,0.9709965346710407,10,4.912648541082287e-4,Model03
39,1,accuracy,binary,0.9709965346710407,10,4.912648541082287e-4,Model04
52,1,accuracy,binary,0.9709965346710407,10,4.912648541082287e-4,Model05
1,2,accuracy,binary,0.8572193882599497,10,1.0600556311057657e-5,Model06
13,2,accuracy,binary,0.9704702215322663,10,5.048148958294465e-4,Model07
26,2,accuracy,binary,0.9722183126872822,10,4.496501736367327e-4,Model08
39,2,accuracy,binary,0.9729044161631871,10,3.9832617791490965e-4,Model09
52,2,accuracy,binary,0.9729044161631871,10,3.9832617791490965e-4,Model10
