mtry,min_n,.metric,.estimator,mean,n,std_err,.config
10,100,accuracy,binary,0.9746054803855491,10,4.0470619286705437e-4,Model01
24,100,accuracy,binary,0.9744081234475386,10,4.6832511710063156e-4,Model02
38,100,accuracy,binary,0.9743987364338421,10,3.7284427129427247e-4,Model03
52,100,accuracy,binary,0.9741731875410433,10,4.660271262653082e-4,Model04
10,400,accuracy,binary,0.9730641499641899,10,4.040261128426632e-4,Model05
24,400,accuracy,binary,0.9723874688331802,10,4.7014671995857275e-4,Model06
38,400,accuracy,binary,0.9717108000686129,10,4.7526551873652503e-4,Model07
52,400,accuracy,binary,0.9708931370758301,10,4.509143012590786e-4,Model08
10,700,accuracy,binary,0.9719927337565473,10,3.9659637637817156e-4,Model09
24,700,accuracy,binary,0.9710811105347417,10,5.062480720444059e-4,Model10
38,700,accuracy,binary,0.9701788725583376,10,6.088162057907996e-4,Model11
52,700,accuracy,binary,0.9685435518761628,10,7.25189275813878e-4,Model12
10,1000,accuracy,binary,0.971231471458944,10,3.718638618976485e-4,Model13
24,1000,accuracy,binary,0.970442009255119,10,5.324253790449723e-4,Model14
38,1000,accuracy,binary,0.9690416500935665,10,5.957221289469206e-4,Model15
52,1000,accuracy,binary,0.9666262780699179,10,7.338225725086195e-4,Model16
